orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.8597	C3_06490W_A		Putative protein of unknown function; Hap43p-repressed gene; ortholog of <i>S. cerevisiae</i> YJL218W	biological_process	cellular_component	acetyltransferase activity
orf6.8598	C3_06500W_A	UBA1	Ubiquitin-activating enzyme; protein level decreases in stationary phase cultures	protein ubiquitination	cytoplasm||nucleus	ATP binding||magnesium ion binding||ubiquitin activating enzyme activity
orf6.86	C2_10310C_A	KIP2	Putative kinesin-related motor protein involved in mitotic spindle positioning; repressed by alpha pheromone in SpiderM medium; periodic mRNA expression, peak at cell-cycle G2/M phase	apical protein localization||cortical microtubule organization||microtubule polymerization||negative regulation of microtubule depolymerization||nuclear migration along microtubule	cortical microtubule plus-end||microtubule associated complex||spindle midzone||spindle pole body	ATP binding||ATP-dependent microtubule motor activity, plus-end-directed||microtubule plus-end binding
orf6.860	C6_00300C_A	STV1	Predicted subunit a of vacuolar proton-translocating ATPase V0 domain, Golgi isoform	ATP hydrolysis coupled proton transport	Golgi apparatus||endosome||proton-transporting V-type ATPase, V0 domain	proton transmembrane transporter activity
orf6.8600	C3_06510C_A	HST6	ABC transporter related to mammalian P-glycoproteins; functional homolog of S. cerevisiae Ste6p (a-pheromone transporter); required for mating of MTLa cells; a-type specific, not regulated during white-opaque or yeast-hyphal switching	mating pheromone secretion involved in positive regulation of conjugation with cellular fusion||peptide pheromone export||peptide pheromone transmembrane export involved in positive regulation of conjugation with cellular fusion||transport	Golgi apparatus||cortical dynamic polarity patch||integral component of membrane||mating projection tip||plasma membrane	ATP binding||ATPase activity, coupled to transmembrane movement of substances||oligopeptide-transporting ATPase activity||transporter activity
orf6.8601	C3_06520C_A		Ortholog(s) have role in lipid homeostasis, nuclear envelope organization and nuclear envelope localization	lipid homeostasis||mRNA export from nucleus||nuclear envelope organization	nuclear envelope||nuclear membrane	molecular_function
orf6.8602	C3_06530W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_86500, <i>C. parapsilosis CDC317</i> : CPAR2_206120, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_100862 and <i>Debaryomyces hansenii CBS767</i> : DEHA2F17270g	biological_process	cellular_component	molecular_function
orf6.8603	C3_06540C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_86510, <i>C. parapsilosis CDC317</i> : CPAR2_206110, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_112184 and <i>Debaryomyces hansenii CBS767</i> : DEHA2F17292g	biological_process	cellular_component	molecular_function
orf6.8604	C3_06550C_A		Ortholog(s) have transcription factor TFIIH holo complex localization	biological_process	transcription factor TFIIH holo complex	molecular_function
orf6.8605	C3_06560W_A		Ortholog of S.c. Vid24; a peripheral membrane protein located at Vid (vacuole import and degradation) vesicles; regulated by Sef1, Sfu1, and Hap43; Spider biofilm induced	negative regulation of gluconeogenesis||proteasome-mediated ubiquitin-dependent protein catabolic process||protein catabolic process in the vacuole||protein targeting to vacuole	GID complex||cytoplasmic vesicle||extrinsic component of membrane	molecular_function
orf6.8606	C3_06570C_A	OPI3	Phosphatidylethanolamine N-methyltransferase; acts in phosphatidylcholine biosynthesis; downregulation correlates with clinical development of fluconazole resistance; amphotericin B, caspofungin repressed; Hap43-induced	cleistothecium development||phosphatidylcholine biosynthetic process	cellular_component	phosphatidyl-N-dimethylethanolamine N-methyltransferase activity||phosphatidyl-N-methylethanolamine N-methyltransferase activity
orf6.8607	C3_06580W_A	JEN1	Lactate transporter; induced by lactic acid, activated by Cat8; alkaline repressed by Rim101; localizes to plasma membrane; Spider biofilm induced	lactate transport||monocarboxylic acid transport||plasma membrane lactate transport||plasma membrane pyruvate transport||plasma membrane selenite transport	integral component of membrane||membrane||plasma membrane	lactate transmembrane transporter activity||monocarboxylic acid transmembrane transporter activity||secondary active monocarboxylate transmembrane transporter activity||selenite:proton symporter activity||sialate:cation symporter activity
orf6.8608	C3_06590W_A	LYS9	Saccharopine dehydrogenase; lysine biosynthesis; soluble protein in hyphae; amphotericin B repressed; Gcn4-regulated; colony morphology-related gene regulation by Ssn6; protein present in exponential and stationary growth phase yeast	lysine biosynthetic process via aminoadipic acid||oxidation-reduction process	cellular_component	saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity
orf6.8609	C3_06600C_A		Ortholog(s) have role in mitochondrial genome maintenance, plasmid maintenance	mitochondrial genome maintenance||plasmid maintenance||protein polymerization	cellular_component	GTPase activity
orf6.861	C6_00290W_A		Protein of unknown function; regulated by yeast-hypha switch; induced by Mnl1 in weak acid stress; 5' UTR intron; repressed by chlamydospore formation in C. albicans and C. dubliniensis; rat catheter, Spider and flow model biofilm induced	biological_process	cellular_component	molecular_function
orf6.8610	C3_06610W_A		Ortholog(s) have protein binding, bridging activity, role in septin ring assembly and cellular bud neck septin ring localization	septin ring assembly	cellular bud neck septin ring	protein binding, bridging
orf6.8611	C3_06620W_A	FUN31	Putative PAS kinase involved in cell wall damage response; similar to S. cerevisiae Psk1p, a putative serine/threonine protein kinase; induced by Mnl1 under weak acid stress; rat catheter and Spider biofilm induced	negative regulation of glycogen biosynthetic process||protein phosphorylation||regulation of (1->6)-beta-D-glucan biosynthetic process||regulation of establishment or maintenance of cell polarity	cytoplasm	ATP binding||protein serine/threonine kinase activity||protein tyrosine kinase activity
orf6.8612	C3_06630W_A		Ortholog(s) have chromatin binding activity and role in DNA replication initiation, DNA unwinding involved in DNA replication, double-strand break repair via break-induced replication	DNA replication initiation||DNA unwinding involved in DNA replication||double-strand break repair via break-induced replication	DNA replication preinitiation complex||chromosome, centromeric region||nuclear chromatin	chromatin binding
orf6.8613	C3_06640W_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_02974	biological_process	cellular_component	molecular_function
orf6.8614	C3_06650C_A	TAF60	Putative TFIID and SAGA complex subunit; mutation confers hypersensitivity to amphotericin B	RNA polymerase II preinitiation complex assembly||cellular response to drug||histone acetylation||regulation of DNA-binding transcription factor activity	SAGA complex||SLIK (SAGA-like) complex||cytosol||transcription factor TFIID complex	RNA polymerase II activating transcription factor binding||chromatin binding||molecular adaptor activity||protein heterodimerization activity
orf6.8615	C3_06660C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_86630 and <i>Candida tropicalis MYA-3404</i> : CTRG_05698	biological_process	cellular_component	molecular_function
orf6.8616	C3_06670C_A		Protein of unknown function; flow model biofilm repressed	biological_process	cellular_component	molecular_function
orf6.8617	C3_06680C_A		Protein with Mob2p-dependent hyphal regulation	biological_process	cellular_component	molecular_function
orf6.8618	C3_06690C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_86660, <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00028, <i>Candida tropicalis MYA-3404</i> : CTRG_05695 and <i>Candida albicans WO-1</i> : CAWG_02979	biological_process	cellular_component	molecular_function
orf6.8619	C3_06700C_A		Putative mitochondrial protein with a predicted role in respiratory growth; fluconazole-induced; ketoconazole-repressed; mutants display a strong defect in flow model biofilm formation; Spider biofilm induced	aerobic respiration||filamentous growth of a population of unicellular organisms||filamentous growth of a population of unicellular organisms in response to neutral pH||single-species biofilm formation on inanimate substrate	P-body||integral component of mitochondrial membrane	molecular_function
orf6.862	C6_04400W_A		Predicted ORF from Assembly 19; removed from Assembly 20; restored based on comparative genome analysis	biological_process	cellular_component	molecular_function
orf6.8620	C3_00710W_A	CHS8	Chitin synthase required for synthesis of long-chitin fibrils; nonessential; 8 or 9 membrane spanning regions; mRNA present in yeast and hyphae; induced during cell wall regeneration; flow model biofilm repressed	cell wall chitin biosynthetic process	cell septum||integral component of membrane	chitin synthase activity
orf6.8623	C3_00700W_A	VPS8	Putative vacuolar sorting protein; downregulated upon adherence to polystyrene	late endosome to vacuole transport via multivesicular body sorting pathway||protein targeting to vacuole	CORVET complex||late endosome||membrane	GTPase binding||protein membrane anchor||zinc ion binding
orf6.8624	C3_00690C_A	SWD1	Ortholog(s) have histone methyltransferase activity (H3-K4 specific) activity	G2/M transition of mitotic cell cycle||chromatin silencing at telomere||histone H3-K4 methylation||positive regulation of mitotic nuclear division||telomere maintenance	Set1C/COMPASS complex	histone methyltransferase activity (H3-K4 specific)
orf6.8625	C3_00680C_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_02403	biological_process	cellular_component	molecular_function
orf6.8626	C3_00680C_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_02403	biological_process	cellular_component	molecular_function
orf6.8627	C3_00660W_A		Predicted RNA splicing and ER to Golgi transport protein; Hap43-induced gene	spliceosomal complex assembly	U2 snRNP||U2-type prespliceosome	molecular_function
orf6.8628	C3_00650W_A	NGT1	N-acetylglucosamine (GlcNAc)-specific transporter; role in GlcNAc (but not serum) induced hyphal growth; localizes to plasma membrane; induced by GlcNAc, macrophage engulfment; 12 transmembrane, major facilitator superfamily	N-acetylglucosamine transport||transmembrane transport	integral component of membrane||membrane||plasma membrane	N-acetylglucosamine transmembrane transporter activity
orf6.8629	C3_00640W_A		Putative cysteine sulfinate decarboxylase; transcript positively regulated by Tbf1; Spider biofilm induced	carboxylic acid metabolic process	cellular_component	carboxy-lyase activity||catalytic activity||pyridoxal phosphate binding
orf6.863	C6_04410C_A		Predicted alcohol dehydrogenase; Spider biofilm induced	oxidation-reduction process	cellular_component	oxidoreductase activity||transferase activity, transferring acyl groups other than amino-acyl groups||zinc ion binding
orf6.8631	C3_00630W_A		Ortholog(s) have role in early endosome to late endosome transport, regulation of protein complex assembly, vacuolar acidification and RAVE complex, extrinsic component of membrane localization	early endosome to late endosome transport||regulation of protein complex assembly||vacuolar acidification	RAVE complex||extrinsic component of membrane	molecular_function
orf6.8632	orf19.5396		Predicted ORF from Assembly 19; removed from Assembly 20			
orf6.8633	C3_00610W_A		Putative conserved oligomeric Golgi complex subunit; decreased transcription is observed upon fluphenazine treatment	intra-Golgi vesicle-mediated transport||protein localization by the Cvt pathway	Golgi transport complex	molecular_function
orf6.8635	C3_00600W_A	IFF11	Secreted protein required for normal cell wall structure and for virulence; member of the IFF family; Hap43p-repressed gene	pathogenesis	cell surface||extracellular region||fungal-type cell wall	molecular_function
orf6.8636	orf19.5400		ORF Predicted by Annotation Working Group; merged with orf19.5399 in Assembly 20			
orf6.8637	C3_00580W_A	FLO9	Putative adhesin-like cell wall mannoprotein; repressed during the mating process; mutation confers hypersensitivity to toxic ergosterol analog; decreased transcription is observed upon fluphenazine treatment	biological_process	anchored component of plasma membrane	molecular_function
orf6.8638	C3_00590W_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_02394	biological_process	cellular_component	molecular_function
orf6.864	C6_04420W_A		Protein of unknown function; GlcNAc-induced protein; Spider biofilm induced; rat catheter biofilm repressed	biological_process	cellular_component	molecular_function
orf6.8640	C3_00580W_A	FLO9	Putative adhesin-like cell wall mannoprotein; repressed during the mating process; mutation confers hypersensitivity to toxic ergosterol analog; decreased transcription is observed upon fluphenazine treatment	biological_process	anchored component of plasma membrane	molecular_function
orf6.8642	C3_00570C_A		Predicted plasma membrane associated protein phosphatase; required for normal filamentous growth; mRNA binds She3 and is localized to hyphal tips	cellular response to salt stress||filamentous growth||protein dephosphorylation||response to heat	plasma membrane	phosphoprotein phosphatase activity
orf6.8643	C3_00560C_A	SOF1	Putative protein with a predicted role in 40S ribosomal subunit biogenesis; rat catheter biofilm induced	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	nucleolus||small-subunit processome	molecular_function
orf6.8644	C3_00550C_A	HRK1	Putative serine/threonine kinase; predicted role in cellular ion homeostasis; Spider biofilm repressed	cellular ion homeostasis||negative regulation of transcription by RNA polymerase II||protein phosphorylation||regulation of nitrogen utilization	cellular_component	ATP binding||protein serine/threonine kinase activity||protein tyrosine kinase activity
orf6.8645	C3_00540C_A	IST1	Protein with a positive role in the multivesicular body sorting pathway; rat catheter biofilm repressed	late endosome to vacuole transport via multivesicular body sorting pathway||protein transport	endosome	molecular_function
orf6.8646	C3_00530C_A		Ortholog(s) have microtubule plus-end binding activity	conidium formation||nuclear migration along microtubule||positive regulation of ATP-dependent microtubule motor activity, plus-end-directed||positive regulation of microtubule plus-end binding||sexual sporulation resulting in formation of a cellular spore	cytoplasmic microtubule||nucleus||spindle pole body	microtubule plus-end binding
orf6.8647	C3_00520W_A		Ortholog(s) have NEDD8 transferase activity and role in protein neddylation	protein neddylation	cellular_component	NEDD8 transferase activity||acid-amino acid ligase activity
orf6.8648	C3_00510W_A		Ortholog of <i>S. cerevisiae</i> : ECM9, <i>C. glabrata CBS138</i> : CAGL0L02255g, <i>C. dubliniensis CD36</i> : Cd36_80470, <i>C. parapsilosis CDC317</i> : CPAR2_503390 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_133107	biological_process	cellular_component	molecular_function
orf6.8649	C3_00500C_A		Ortholog(s) have role in mRNA splicing, via spliceosome and Prp19 complex, spliceosomal complex localization	mRNA splicing, via spliceosome	Prp19 complex||spliceosomal complex	molecular_function
orf6.865	C1_07980C_A		Ortholog of S. cerevisiae Sae3; meiosis specific protein involved in DMC1-dependent meiotic recombination in S. cerevisiae; Spider biofilm induced	meiotic DNA recombinase assembly||reciprocal meiotic recombination	condensed nuclear chromosome	molecular_function
orf6.8652	C3_00490W_A	ESA1	Subunit of the NuA4 histone acetyltransferase complex; member of MYST family; Spider biofilm induced	DNA-templated transcription, elongation||cellular response to stress||centromere complex assembly||chromatin silencing at rDNA||double-strand break repair||filamentous growth of a population of unicellular organisms||histone H3-K4 acetylation||histone H4 acetylation||histone displacement||negative regulation of heterochromatin assembly||positive regulation of heterochromatin assembly||positive regulation of macroautophagy||positive regulation of transcription elongation from RNA polymerase II promoter||regulation of cell cycle||regulation of secondary metabolite biosynthetic process||regulation of transcription by RNA polymerase II||replication fork protection	NuA4 histone acetyltransferase complex||Piccolo NuA4 histone acetyltransferase complex||nuclear pericentric heterochromatin	H4 histone acetyltransferase activity||H4 histone acetyltransferase activity||histone acetyltransferase activity (H3-K4 specific)
orf6.8653	C3_00480C_A	DOT5	Putative nuclear thiol peroxidase; alkaline downregulated; sumoylation target; Spider and flow model biofilm induced	cell redox homeostasis||cellular response to oxidative stress||oxidation-reduction process	nucleus	thioredoxin peroxidase activity
orf6.8654	C3_00470W_A		Ortholog(s) have role in ER to Golgi vesicle-mediated transport	endoplasmic reticulum to Golgi vesicle-mediated transport	cellular_component	hydrolase activity
orf6.8655	C3_00460W_A	ATP5	Putative F0-ATP synthase FO subunit B; caspofungin repressed; protein level decreased in stationary phase yeast cultures; Spider biofilm repressed	ATP synthesis coupled proton transport	mitochondrial proton-transporting ATP synthase, stator stalk	proton-transporting ATP synthase activity, rotational mechanism||proton-transporting ATP synthase activity, rotational mechanism
orf6.8656	C3_00450C_A		Ortholog(s) have structural constituent of ribosome activity, role in mitochondrial translation and mitochondrial large ribosomal subunit localization	mitochondrial translation	mitochondrial large ribosomal subunit	RNA binding||structural constituent of ribosome||transferase activity
orf6.8658	C3_00440W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_80400, <i>Candida tropicalis MYA-3404</i> : CTRG_06188 and <i>Candida albicans WO-1</i> : CAWG_02379	biological_process	cellular_component	molecular_function
orf6.8659	C3_00430W_A	EST3	Telomerase subunit; required for telomere maintenance in vivo; separable roles in telomerase activity and processivity; not required for catalytic activity in vitro; related to mammalian Tpp1p	DNA duplex unwinding||positive regulation of telomerase activity||telomere formation via telomerase||telomere maintenance via telomerase	chromosome, telomeric region||telomerase holoenzyme complex	ATP-dependent DNA/RNA helicase activity||GTPase activity||telomerase activity||telomeric DNA binding
orf6.866	C1_07660W_A		Protein of unknown function; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)||maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	nucleolus	molecular_function
orf6.8660	C3_00410C_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_02376	biological_process	cellular_component	molecular_function
orf6.8661	C3_00420W_A		Ortholog(s) have 3'-tRNA processing endoribonuclease activity, role in mitochondrial tRNA 3'-end processing, nuclear tRNA 3'-trailer cleavage, endonucleolytic and mitochondrion, nucleus localization	mitochondrial tRNA 3'-end processing||nuclear tRNA 3'-trailer cleavage, endonucleolytic	mitochondrion||nucleus	3'-tRNA processing endoribonuclease activity
orf6.8662	C3_00400C_A		Putative patatin-like phospholipase; macrophage-regulated gene; fungal-specific (no human or murine homolog)	cell budding||phospholipid metabolic process||triglyceride catabolic process||triglyceride mobilization	lipid droplet	calcium-independent phospholipase A2 activity||lysophosphatidic acid acyltransferase activity||sterol esterase activity||triglyceride lipase activity
orf6.8664	C3_00390W_A		Putative Golgi membrane protein with a predicted role in manganese homeostasis; Hap43p-repressed gene; clade-associated gene expression	cellular manganese ion homeostasis||metal ion transport||transmembrane transport	Golgi membrane||late endosome||trans-Golgi network	manganese ion transmembrane transporter activity
orf6.8665	C3_00380C_A		Ortholog(s) have ubiquitin-protein transferase activity	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process||cellular protein complex disassembly||chromatin silencing at silent mating-type cassette||chromatin silencing at telomere||invasive growth in response to glucose limitation||protein ubiquitination||regulation of DNA replication	SCF ubiquitin ligase complex||nuclear replication fork||nucleus	ubiquitin-protein transferase activity
orf6.8666	C3_00370C_A	BUD21	Small-subunit processome component; repressed by prostaglandins	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)||endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	nucleolus||small-subunit processome	snoRNA binding
orf6.8667	C3_00360W_A		Protein of unknown function; Hap43-repressed; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.8668	C3_00350W_A	TPT1	tRNA 2'-phosphotransferase; enzyme of tRNA splicing; functionally complements viability of S. cerevisiae tpt1 null mutant	tRNA splicing, via endonucleolytic cleavage and ligation	cytoplasm||nucleus	tRNA 2'-phosphotransferase activity
orf6.8669	C3_00340W_A		Ortholog(s) have protein binding involved in protein folding activity, role in mitochondrial respiratory chain complex III assembly and mitochondrial matrix localization	mitochondrial respiratory chain complex III assembly	mitochondrial matrix	protein folding chaperone
orf6.867	C1_07670W_A	ZCF4	Putative Zn(II)2Cys6 transcription factor	regulation of transcription, DNA-templated	nucleus	DNA-binding transcription factor activity||DNA-binding transcription factor activity, RNA polymerase II-specific||zinc ion binding
orf6.8672	C3_00330W_A	UTP8	Essential nucleolar protein; involved in tRNA export from the nucleus and ribosomal small subunit biogenesis; physically interacts with TAP-tagged Nop1; Spider biofilm induced	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)||positive regulation of transcription by RNA polymerase I||tRNA export from nucleus	rDNA heterochromatin||small-subunit processome||t-UTP complex	tRNA binding
orf6.8673	C3_00320W_A	RHR2	Glycerol 3-phosphatase; roles in osmotic tolerance, glycerol accumulation in response to salt; Spider/flow model biofilm induced; regulated by macrophage, stress, yeast-hyphal switch, pheromone, Gcn4, Hog1, Nrg1, Tup1	cell-abiotic substrate adhesion||cellular response to osmotic stress||entry into host||glycerol biosynthetic process||glycerol metabolic process||pathogenesis||single-species biofilm formation on inanimate substrate	cytoplasm	glycerol-1-phosphatase activity||glycerol-3-phosphatase activity||phosphatase activity
orf6.8674	C3_00310C_A		Putative ubiquitin-protein ligase; role in protein sumoylation, protein ubiquitination; Spider biofilm induced	cellular response to DNA damage stimulus||protein sumoylation||protein ubiquitination||telomere maintenance	SUMO-targeted ubiquitin ligase complex||condensed nuclear chromosome kinetochore	ubiquitin-protein transferase activity||zinc ion binding
orf6.8675	C3_00300W_A		Ortholog of <i>C. parapsilosis CDC317</i> : CPAR2_504010, <i>C. dubliniensis CD36</i> : Cd36_80270, <i>Lodderomyces elongisporus NRLL YB-4239</i> : LELG_02294 and <i>Pichia stipitis Pignal</i> : PICST_29581	biological_process	cellular_component	molecular_function
orf6.8676	C3_00290W_A	RPT2	Putative ATPase of the 19S regulatory particle of the 26S proteasome; oxidative stress-induced via Cap1; Spider biofilm repressed	cellular protein-containing complex localization||nonfunctional rRNA decay||peptide catabolic process||positive regulation of protein catabolic process||proteasome regulatory particle assembly||ubiquitin-dependent protein catabolic process	cytoplasm||nuclear chromatin||proteasome regulatory particle, base subcomplex	ATP binding||nucleotide binding||proteasome-activating ATPase activity
orf6.8677	C3_00280C_A	ULP3	SUMO deconjugation enzyme that removes the small ubiquitin-like modifier (SUMO) from proteins	chromosome condensation||mitotic spindle assembly checkpoint||plasmid maintenance||protein desumoylation	nucleus	SUMO-specific isopeptidase activity
orf6.8678	C3_00270C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_80240, <i>C. parapsilosis CDC317</i> : CPAR2_504040, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_130872 and <i>Debaryomyces hansenii CBS767</i> : DEHA2C06006g	biological_process	cellular_component	molecular_function
orf6.8679	C3_00260C_A	BNA4	Putative kynurenine 3-monooxygenase, involved in NAD biosynthesis; transposon mutation affects filamentous growth; Hap43p-repressed gene; oral infection upregulated; mutants have reduced capacity to damage oral epithelial cells	'de novo' NAD biosynthetic process from tryptophan||cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation	mitochondrial outer membrane||plasma membrane	FAD binding||kynurenine 3-monooxygenase activity
orf6.868	C1_07680W_A	HAP2	CCAAT-binding transcription factor; regulates low-iron induction of FRP1; in these conditions CBF comprises Hap43 and probably Hap2 and Hap3; possibly essential, disruptants not obtained by UAU1 method; Cap1-dependent induction in low iron	carbon catabolite activation of transcription from RNA polymerase II promoter||cellular response to alkaline pH||cellular response to copper ion||regulation of cellular respiration	CCAAT-binding factor complex	DNA-binding transcription activator activity, RNA polymerase II-specific||RNA polymerase II proximal promoter sequence-specific DNA binding
orf6.8680	C3_00250C_A	TIM44	Protein involved in transport across membranes; Spider biofilm repressed	protein import into mitochondrial matrix	PAM complex, Tim23 associated import motor||plasma membrane	chaperone binding||protein binding, bridging
orf6.8681	C3_00240C_A	GLO3	Putative ARF GTPase activator; role in COPI coating of Golgi vesicle, ER to Golgi vesicle-mediated transport, retrograde Golgi to ER vesicle-mediated transport; Spider biofilm repressed	COPI coating of Golgi vesicle||endoplasmic reticulum to Golgi vesicle-mediated transport||retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	COPI vesicle coat	GTPase activator activity||zinc ion binding
orf6.8682	C3_00230C_A		Putative protein of unknown function; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis; regulated by Ssn6	biological_process	cellular_component	molecular_function
orf6.8683	C3_00220W_A	HGT19	Putative MFS glucose/myo-inositol transporter; 20 member family; 12 transmembrane segments, extended N terminus; expressed in rich medium; Hap43, phagocytosis, rat catheter, Spider and flow model biofilm induced	carbohydrate transport||glucose transmembrane transport	integral component of plasma membrane||membrane||plasma membrane	glucose transmembrane transporter activity||sugar transmembrane transporter activity
orf6.8685	C3_00210C_A		Predicted integral membrane protein; Spider biofilm induced	biological_process	cell cortex||integral component of membrane||peroxisome	molecular_function
orf6.8686	C3_00200C_A	ETR1	Putative 2-enoyl thioester reductase; protein present in exponential and stationary growth phase yeast cultures; rat catheter biofilm repressed	aerobic respiration||fatty acid biosynthetic process	mitochondrion	enoyl-[acyl-carrier-protein] reductase activity||transferase activity, transferring acyl groups other than amino-acyl groups||zinc ion binding
orf6.8687	C3_00190W_A		Ortholog of <i>Candida guilliermondii ATCC 6260</i> : PGUG_05321, <i>Candida lusitaniae ATCC 42720</i> : CLUG_00887 and <i>Candida albicans WO-1</i> : CAWG_02354	biological_process	cellular_component	molecular_function
orf6.869	C1_07690C_A		Ortholog(s) have nuclear export signal receptor activity, role in protein export from nucleus and nuclear envelope, nuclear periphery localization	protein export from nucleus	nuclear envelope||nuclear periphery||nuclear pore	Ran GTPase binding||nuclear export signal receptor activity||protein transporter activity
orf6.8690	C3_00180C_A	DAL1	Putative allantoinase; transcript regulated by Nrg1 and Mig1; macrophage/pseudohyphal-repressed	allantoin assimilation pathway||purine nucleobase catabolic process	cellular_component	allantoinase activity
orf6.8691	C3_00170C_A		Ortholog(s) have GTPase regulator activity, mRNA binding activity	lysosomal microautophagy||polyphosphate biosynthetic process||regulation of establishment or maintenance of cell polarity regulating cell shape||small GTPase mediated signal transduction||vacuolar transport||vacuole fusion, non-autophagic	cell division site||endoplasmic reticulum||fungal-type vacuole membrane||intrinsic component of vacuolar membrane||vacuolar transporter chaperone complex	GTPase regulator activity||mRNA binding
orf6.8693	C3_00160C_A		Ortholog(s) have lipid droplet localization	biological_process	lipid droplet	molecular_function
orf6.8695	C3_00130C_A		mRNA polyadenylation regulating protein; Hap43-repressed; transcript is upregulated in RHE model of oral candidiasis and in clinical isolates from HIV+ patients with oral candidiasis; Spider biofilm repressed	maintenance of rDNA||negative regulation of mRNA polyadenylation||positive regulation of translation||stress granule assembly	cytoplasmic stress granule||polysome	molecular_function
orf6.8697	C3_00150W_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_02350	biological_process	cellular_component	molecular_function
orf6.8698	C3_00140W_A		Protein of unknown function	biological_process	cellular_component	molecular_function
orf6.8699	C3_00110C_A	SEC6	Predicted subunit of the exocyst complex, involved in exocytosis; localizes to a crescent on the surface of the hyphal tip; Hap43p-repressed	Golgi to plasma membrane transport||exocyst localization||exocytosis||negative regulation of SNARE complex assembly	cell cortex of growing cell tip||cell division site||cellular bud neck||cellular bud tip||cortical dynamic polarity patch||exocyst||hyphal tip||lateral cell cortex	SNARE binding||protein homodimerization activity
orf6.87	CR_01630C_A		Protein similar to S. cerevisiae Pmr1p; amphotericin B induced; previously merged with orf19.2553; unmerged from orf19.2553 in a revision of Assembly 21	cation transport	integral component of membrane	cation-transporting ATPase activity||nucleotide binding
orf6.870	C6_02570C_A	SEC20	Essential protein; similar to S. cerevisiae Sec20p; depletion causes membrane accumulation and drug sensitivity; expression regulated by growth phase; O-mannosylation regulates proteolysis; does not complement S. cerevisiae sec20-1 mutant	cellular response to drug||fungal-type cell wall organization||retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	SNARE complex||endoplasmic reticulum||integral component of membrane||peroxisome	molecular_function
orf6.8700	C3_00120W_A		Protein of unknown function	biological_process	cellular_component	molecular_function
orf6.8701	C3_00100W_A		Ortholog(s) have first spliceosomal transesterification activity, role in generation of catalytic spliceosome for first transesterification step and U2-type catalytic step 1 spliceosome localization	generation of catalytic spliceosome for first transesterification step	U2-type catalytic step 1 spliceosome	first spliceosomal transesterification activity
orf6.8702	C3_00090W_A	RPS24	Predicted ribosomal protein; hyphal downregulated; repressed upon phagocytosis by murine macrophage; transcriptionally activated by Tbf1; Spider biofilm repressed	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)||translation	ribosome	nucleotide binding||structural constituent of ribosome
